#n_epochs,n_negatives,learning_rate,dimension,reg_coeff,ndcg10,precision10,recall10
128,4,0.001,64,1.0e-20,0.1624597758370906,0.14912135278515062,0.08206222492147368
128,8,0.001,64,1.0e-20,0.15773149544796786,0.14530835543767048,0.08744220572739816
128,16,0.001,64,1.0e-20,0.15219585174183606,0.13978779840849306,0.08975864032069517
128,4,0.003,64,1.0e-20,0.15109688568549073,0.1387931034482806,0.08560430171982727
128,8,0.003,64,1.0e-20,0.14240266999723372,0.13136604774536298,0.08468194232610668
128,16,0.003,64,1.0e-20,0.13732494544336887,0.12690649867374498,0.08569718945150724
128,4,0.01,64,1.0e-20,0.13432967625633296,0.12393899204244543,0.08184747660248284
128,8,0.01,64,1.0e-20,0.12201352127483722,0.11296419098143687,0.07751483332813446
128,16,0.01,64,1.0e-20,0.14261277282228263,0.12438660477454024,0.07613328995373805
128,4,0.001,64,0.001,0.16597296475704368,0.1522712201591557,0.0823636635324506
128,4,0.001,64,0.003,0.17434217077336875,0.15905172413793545,0.08633219722290057
128,4,0.001,64,0.01,0.18512267254488235,0.16818633952255066,0.08845151252401207
256,5,0.0010100076536120137,128,0.014777047241830092,0.2071657409752369,0.18751657824933893,0.10144116822652688
256,4,0.0006686619100583287,64,0.013190687569025607,0.19466810850497718,0.17577917771883617,0.09278672747637745
256,3,0.000991373545496213,64,0.011306606427164672,0.19348534134668285,0.17504973474801372,0.09400199420686674
256,4,0.000586373281757077,256,0.007848966442165674,0.18100946228305198,0.1655338196286515,0.08654219192766277
256,2,0.001618112486408615,256,0.009641514320207295,0.19192239417521925,0.17536472148541463,0.0919188332821465
256,3,0.0007388946998833395,128,0.014906544086293546,0.1854791254154835,0.16942970822281603,0.08576867833411454
256,4,0.0017261793353794638,256,0.006594054784077589,0.20127788621745268,0.18290782493368982,0.10236049580893893
128,2,0.0013875831601883224,128,0.0057574723572667375,0.16409934436512677,0.14995026525199356,0.07575742732347383
256,2,0.001529418648879061,64,0.007859484806568822,0.19059147824469533,0.17377320954907557,0.09696995668793924
128,5,0.0015821998637820548,256,0.015102495524409228,0.20125305982571393,0.18154840848806647,0.09336792607315743
128,5,0.0018444983101848693,256,0.011541015070549065,0.19996299107331358,0.1823607427055731,0.09489877807352472
128,4,0.0018772410555013895,64,0.01754121011869392,0.20289549617057734,0.18358753315650103,0.0979969524177406
256,2,0.0016196701195807777,64,0.017955273453780455,0.20016183419941413,0.18070291777188613,0.09539459012839445
256,6,0.0005690878717344315,128,0.010704407394811197,0.19488810858702804,0.17735411140583937,0.09542585770292314
256,4,0.0017315961939095262,64,0.018147117057636542,0.2152934323116138,0.19406498673740263,0.109658495357205
256,6,0.0014264826446678315,128,0.017941536727080445,0.22188602668967838,0.19910477453580977,0.11321771171916363
256,4,0.0009559634781753692,64,0.007288591177560553,0.18975662997785817,0.17203249336870424,0.0981708485153489
128,5,0.001032960082949823,64,0.01143116654424551,0.19157127145377678,0.17418766578249673,0.0918375515817228
128,5,0.0011677624097242785,256,0.012541792675960579,0.1905267457869091,0.17314323607427476,0.08779571669618703
128,4,0.0006230197700139993,64,0.013972007696371882,0.17727986312592142,0.16009615384615816,0.07827801855238706
