#n_epochs,n_negatives,learning_rate,dimension,reg_coeff,ndcg10,precision10,recall10
128,4,0.001,64,1.0e-20,0.17449551678717293,0.1587864721485454,0.0829692057024434
128,8,0.001,64,1.0e-20,0.1817840500193014,0.16560013262599924,0.09034016929932281
128,16,0.001,64,1.0e-20,0.18708927901268602,0.16981100795756404,0.09612988509313156
128,4,0.003,64,1.0e-20,0.17253113967225742,0.15440981432361278,0.09765022833100771
128,8,0.003,64,1.0e-20,0.17908888538033862,0.16115716180371842,0.10051593753016873
128,16,0.003,64,1.0e-20,0.18446810295743069,0.1655503978779893,0.10617621726533621
128,4,0.01,64,1.0e-20,0.1783636896755853,0.1548905835543818,0.09826436937404799
128,8,0.01,64,1.0e-20,0.13826361049599273,0.12060676392573391,0.07126246418879476
128,16,0.01,64,1.0e-20,0.10266751869806914,0.08856100795756201,0.05617564201222041
128,16,0.001,64,0.001,0.1988481653190747,0.17889588859416788,0.09986422060635969
128,16,0.001,64,0.003,0.2113395897975024,0.18955570291777435,0.10434295316913818
128,16,0.001,64,0.01,0.20733755585396474,0.18483090185676632,0.09861861185663576
256,18,0.0012750705664730715,128,0.005720177108336541,0.24866151291635905,0.21944628647214848,0.13322863752922662
128,14,0.0014549156600374565,256,0.005705730616399698,0.2280440872135771,0.20432692307692393,0.11393455444553317
256,14,0.0016196701195807777,64,0.0053865820361341365,0.24816138353559813,0.21656167108753305,0.13507989979212826
128,17,0.001120235579301015,128,0.004709538088441833,0.22377714385609956,0.19990053050398032,0.11073929038978773
256,15,0.000612242900339262,256,0.004975790170930278,0.22286208382205527,0.19976790450928544,0.11054359233236269
256,15,0.001143116654424551,64,0.005097861101066089,0.24332830571216243,0.21467175066313074,0.12972081992246845
256,16,0.0012508182324070247,256,0.001869059310041998,0.1949826101234101,0.17093832891247196,0.1036466151621068
128,15,0.0011426976743780645,64,0.005039953522290326,0.2208765269578567,0.19646883289124753,0.10850511864714393
128,16,0.0014733708683684872,64,0.0019518005725565534,0.21519690974341493,0.1918269230769251,0.11340765807609773
128,15,0.0008900235771525603,64,0.0020124323146073634,0.20170473592363367,0.1822281167108788,0.09930544894314254
256,17,0.0014092815256278673,64,0.003032214008097318,0.23228484993336032,0.2047248010610095,0.12648078757663542
256,18,0.0010296712968419167,128,0.0028377122466006813,0.22277492229539486,0.1982427055702935,0.11765150715052106
256,14,0.0012870044137461086,256,0.0051219206101097235,0.23805177111865766,0.21107427055703015,0.1253529417571255
256,15,0.0005968573673816664,128,0.005915932651063738,0.2268896548563627,0.2023541114058359,0.11144019696900433
128,15,0.0010246819718961572,64,0.002684063607952523,0.2124547663665861,0.1913295755968185,0.10605048920021391
128,18,0.0007691458944213477,128,0.0018549679616572728,0.1949434813721283,0.17698938992042787,0.09346187996038002
256,14,0.001920833592546823,128,0.00480931988344831,0.24028979733498204,0.21039456233421822,0.1309403580113457
128,15,0.0013154607175677145,256,0.0015226574286843792,0.18790213528110558,0.16866710875332033,0.09552953122524988
128,14,0.0013824938484040179,64,0.003874769312559079,0.22173786100609852,0.19878978779840967,0.11263230376079458
256,14,0.0011505776531473048,64,0.0021249327404084094,0.21906437637273662,0.19389920424403384,0.1188920015062052
